Time;km;speed_kmh;FC;dist
2023-10-21T07:04:02Z;0;0;162;0
2023-10-21T07:04:03Z;0;0;162;0
2023-10-21T07:04:04Z;0,003;5,4;161;0,003
2023-10-21T07:04:05Z;0,006;7,2;160;0,003
2023-10-21T07:04:06Z;0,009;7,92;163;0,003
2023-10-21T07:04:07Z;0,012;8,64;164;0,003
2023-10-21T07:04:08Z;0,016;11,52;164;0,004
2023-10-21T07:04:09Z;0,019;11,52;166;0,003
2023-10-21T07:04:10Z;0,022;11,52;167;0,003
2023-10-21T07:04:11Z;0,025;11,52;167;0,003
2023-10-21T07:04:12Z;0,028;11,52;167;0,003
2023-10-21T07:04:13Z;0,031;10,8;167;0,003
2023-10-21T07:04:14Z;0,034;10,8;169;0,003
2023-10-21T07:04:15Z;0,037;10,8;167;0,003
2023-10-21T07:04:16Z;0,04;10,8;166;0,003
2023-10-21T07:04:17Z;0,042;10,08;165;0,002
2023-10-21T07:04:18Z;0,046;10,8;165;0,004
2023-10-21T07:04:19Z;0,052;12,96;165;0,006
2023-10-21T07:04:20Z;0,055;12,96;164;0,003
2023-10-21T07:04:21Z;0,058;12,96;164;0,003
2023-10-21T07:04:22Z;0,061;13,32;163;0,003
2023-10-21T07:04:23Z;0,063;12,6;164;0,002
2023-10-21T07:04:24Z;0,066;10,08;163;0,003
2023-10-21T07:04:25Z;0,069;10,08;162;0,003
2023-10-21T07:04:26Z;0,072;10,44;164;0,003
2023-10-21T07:04:27Z;0,076;10,8;163;0,004
2023-10-21T07:04:28Z;0,079;11,16;166;0,003
2023-10-21T07:04:29Z;0,082;11,52;165;0,003
2023-10-21T07:04:30Z;0,085;11,52;165;0,003
2023-10-21T07:04:31Z;0,088;11,16;164;0,003
2023-10-21T07:04:32Z;0,091;11,16;162;0,003
2023-10-21T07:04:33Z;0,094;10,8;162;0,003
2023-10-21T07:04:34Z;0,097;10,8;162;0,003
2023-10-21T07:04:35Z;0,1;10,8;162;0,003
2023-10-21T07:04:36Z;0,103;10,8;161;0,003
2023-10-21T07:04:37Z;0,106;10,8;162;0,003
2023-10-21T07:04:38Z;0,109;10,8;162;0,003
2023-10-21T07:04:39Z;0,112;10,8;162;0,003
2023-10-21T07:04:40Z;0,115;10,8;161;0,003
2023-10-21T07:04:41Z;0,118;10,8;162;0,003
2023-10-21T07:04:42Z;0,121;10,8;164;0,003
2023-10-21T07:04:43Z;0,124;10,8;164;0,003
2023-10-21T07:04:44Z;0,127;10,8;163;0,003
2023-10-21T07:04:45Z;0,13;10,8;162;0,003
2023-10-21T07:04:46Z;0,134;11,16;162;0,004
2023-10-21T07:04:47Z;0,137;11,52;162;0,003
2023-10-21T07:04:48Z;0,14;11,52;162;0,003
2023-10-21T07:04:49Z;0,144;12,24;162;0,004
2023-10-21T07:04:50Z;0,148;12,96;162;0,004
2023-10-21T07:04:51Z;0,152;13,32;162;0,004
2023-10-21T07:04:52Z;0,154;12,6;162;0,002
2023-10-21T07:04:53Z;0,157;11,88;162;0,003
2023-10-21T07:04:54Z;0,159;10,8;160;0,002
2023-10-21T07:04:55Z;0,163;11,16;160;0,004
2023-10-21T07:04:56Z;0,168;11,16;158;0,005
2023-10-21T07:04:57Z;0,172;12,6;160;0,004
2023-10-21T07:04:58Z;0,174;12,6;160;0,002
2023-10-21T07:04:59Z;0,177;12,96;160;0,003
2023-10-21T07:05:00Z;0,179;11,52;159;0,002
2023-10-21T07:05:01Z;0,182;10,08;160;0,003
2023-10-21T07:05:02Z;0,184;8,64;160;0,002
2023-10-21T07:05:03Z;0,187;9,36;160;0,003
2023-10-21T07:05:04Z;0,191;10,08;163;0,004
