Time;km;speed_kmh;FC;dist
2021-10-24T07:01:06Z;0;0;114;0
2021-10-24T07:01:07Z;0;0;114;0
2021-10-24T07:01:08Z;0;0;115;0
2021-10-24T07:01:09Z;0,004;4,68;116;0,004
2021-10-24T07:01:10Z;0,006;5,4;119;0,002
2021-10-24T07:01:11Z;0,009;6,48;120;0,003
2021-10-24T07:01:12Z;0,011;7,92;122;0,002
2021-10-24T07:01:13Z;0,014;10,08;122;0,003
2021-10-24T07:01:14Z;0,016;8,64;124;0,002
2021-10-24T07:01:15Z;0,019;9,36;126;0,003
2021-10-24T07:01:16Z;0,021;8,64;126;0,002
2021-10-24T07:01:17Z;0,023;8,64;125;0,002
2021-10-24T07:01:18Z;0,025;7,92;125;0,002
2021-10-24T07:01:19Z;0,027;7,92;128;0,002
2021-10-24T07:01:20Z;0,029;7,2;129;0,002
2021-10-24T07:01:21Z;0,032;7,92;132;0,003
2021-10-24T07:01:22Z;0,034;7,92;134;0,002
2021-10-24T07:01:23Z;0,036;7,92;137;0,002
2021-10-24T07:01:24Z;0,038;7,92;136;0,002
2021-10-24T07:01:25Z;0,04;7,92;136;0,002
2021-10-24T07:01:26Z;0,043;7,92;138;0,003
2021-10-24T07:01:27Z;0,046;8,64;137;0,003
2021-10-24T07:01:28Z;0,049;9,36;137;0,003
2021-10-24T07:01:29Z;0,051;9,36;139;0,002
2021-10-24T07:01:30Z;0,055;10,8;141;0,004
2021-10-24T07:01:31Z;0,057;10,08;140;0,002
2021-10-24T07:01:32Z;0,061;10,8;143;0,004
2021-10-24T07:01:33Z;0,064;10,8;146;0,003
2021-10-24T07:01:34Z;0,067;11,52;149;0,003
2021-10-24T07:01:35Z;0,07;10,8;147;0,003
2021-10-24T07:01:36Z;0,074;12,24;150;0,004
2021-10-24T07:01:37Z;0,077;11,52;151;0,003
2021-10-24T07:01:38Z;0,08;11,52;152;0,003
2021-10-24T07:01:39Z;0,084;12,24;153;0,004
2021-10-24T07:01:40Z;0,087;12,6;154;0,003
2021-10-24T07:01:41Z;0,091;12,24;157;0,004
2021-10-24T07:01:42Z;0,094;12,24;158;0,003
2021-10-24T07:01:43Z;0,098;12,96;159;0,004
2021-10-24T07:01:44Z;0,101;12,24;158;0,003
2021-10-24T07:01:45Z;0,104;11,88;157;0,003
2021-10-24T07:01:46Z;0,107;11,88;157;0,003
2021-10-24T07:01:47Z;0,111;12,24;158;0,004
2021-10-24T07:01:48Z;0,114;11,52;159;0,003
2021-10-24T07:01:49Z;0,118;12,24;160;0,004
2021-10-24T07:01:50Z;0,122;12,96;163;0,004
2021-10-24T07:01:51Z;0,128;14,4;163;0,006
2021-10-24T07:01:52Z;0,133;15,84;160;0,005
2021-10-24T07:01:53Z;0,137;16,56;160;0,004
2021-10-24T07:01:54Z;0,141;16,2;157;0,004
2021-10-24T07:01:55Z;0,144;15,84;160;0,003
2021-10-24T07:01:56Z;0,148;14,76;159;0,004
2021-10-24T07:01:57Z;0,151;12,96;159;0,003
2021-10-24T07:01:58Z;0,154;12,24;161;0,003
2021-10-24T07:01:59Z;0,157;11,88;158;0,003
2021-10-24T07:02:00Z;0,16;11,52;158;0,003
2021-10-24T07:02:01Z;0,167;13,68;161;0,007
2021-10-24T07:02:02Z;0,171;14,4;160;0,004
2021-10-24T07:02:03Z;0,175;15,48;161;0,004
2021-10-24T07:02:04Z;0,18;16,56;160;0,005
2021-10-24T07:02:05Z;0,184;17,28;162;0,004
2021-10-24T07:02:06Z;0,188;15,12;163;0,004
2021-10-24T07:02:07Z;0,192;14,76;164;0,004
2021-10-24T07:02:08Z;0,195;14,4;164;0,003
2021-10-24T07:02:09Z;0,199;13,68;164;0,004
2021-10-24T07:02:10Z;0,202;12,96;164;0,003
2021-10-24T07:02:11Z;0,205;12,24;164;0,003
2021-10-24T07:02:12Z;0,208;11,88;163;0,003
2021-10-24T07:02:13Z;0,211;11,16;159;0,003
2021-10-24T07:02:14Z;0,215;11,16;161;0,004
2021-10-24T07:02:15Z;0,218;11,88;161;0,003
2021-10-24T07:02:16Z;0,222;12,24;160;0,004
2021-10-24T07:02:17Z;0,229;14,76;158;0,007
2021-10-24T07:02:18Z;0,235;17,28;159;0,006
2021-10-24T07:02:19Z;0,239;17,64;160;0,004
2021-10-24T07:02:20Z;0,243;17,64;161;0,004
2021-10-24T07:02:21Z;0,247;18;159;0,004
2021-10-24T07:02:22Z;0,251;15,84;160;0,004
2021-10-24T07:02:23Z;0,254;14,04;159;0,003
2021-10-24T07:02:24Z;0,258;13,68;160;0,004
2021-10-24T07:02:25Z;0,261;12,96;162;0,003
2021-10-24T07:02:26Z;0,265;12,6;161;0,004
2021-10-24T07:02:27Z;0,268;12,24;161;0,003
2021-10-24T07:02:28Z;0,271;11,88;161;0,003
2021-10-24T07:02:29Z;0,274;11,16;162;0,003
2021-10-24T07:02:30Z;0,276;10,8;161;0,002
