Time;km;speed_kmh;FC;dist
2021-03-06T09:00:01Z;0;0;97;0
2021-03-06T09:00:02Z;0;0;97;0
2021-03-06T09:00:03Z;0,001;1,08;97;0,001
2021-03-06T09:00:04Z;0,002;2,16;97;0,001
2021-03-06T09:00:05Z;0,004;3,6;97;0,002
2021-03-06T09:00:06Z;0,006;4,68;97;0,002
2021-03-06T09:00:08Z;0,011;7,56;100;0,005
2021-03-06T09:00:08Z;0,012;7,56;100;0,001
2021-03-06T09:00:09Z;0,016;10,08;101;0,004
2021-03-06T09:00:10Z;0,019;11,16;102;0,003
2021-03-06T09:00:11Z;0,023;11,88;102;0,004
2021-03-06T09:00:12Z;0,027;12,24;104;0,004
2021-03-06T09:00:13Z;0,03;12,6;105;0,003
2021-03-06T09:00:14Z;0,034;12,96;107;0,004
2021-03-06T09:00:15Z;0,037;12,96;112;0,003
2021-03-06T09:00:16Z;0,041;12,6;112;0,004
2021-03-06T09:00:17Z;0,045;12,96;113;0,004
2021-03-06T09:00:18Z;0,048;12,96;114;0,003
2021-03-06T09:00:19Z;0,051;12,96;114;0,003
2021-03-06T09:00:20Z;0,055;12,6;118;0,004
2021-03-06T09:00:21Z;0,058;12,6;118;0,003
2021-03-06T09:00:22Z;0,062;12,6;130;0,004
2021-03-06T09:00:23Z;0,066;12,6;133;0,004
2021-03-06T09:00:25Z;0,07;10,8;133;0,004
2021-03-06T09:00:25Z;0,074;10,8;133;0,004
2021-03-06T09:00:26Z;0,079;14,4;133;0,005
2021-03-06T09:00:27Z;0,083;15,12;137;0,004
2021-03-06T09:00:28Z;0,086;15,12;140;0,003
2021-03-06T09:00:29Z;0,089;14,4;141;0,003
2021-03-06T09:00:30Z;0,092;12,6;140;0,003
2021-03-06T09:00:31Z;0,094;11,52;140;0,002
2021-03-06T09:00:32Z;0,097;10,08;140;0,003
2021-03-06T09:00:34Z;0,101;8,28;142;0,004
2021-03-06T09:00:34Z;0,102;8,28;142;0,001
2021-03-06T09:00:35Z;0,105;9,36;145;0,003
2021-03-06T09:00:36Z;0,107;9,36;146;0,002
2021-03-06T09:00:37Z;0,109;8,64;146;0,002
2021-03-06T09:00:38Z;0,11;8,28;148;0,001
2021-03-06T09:00:39Z;0,112;7,2;148;0,002
2021-03-06T09:00:40Z;0,114;6,84;147;0,002
2021-03-06T09:00:41Z;0,117;6,84;147;0,003
2021-03-06T09:00:43Z;0,12;7,2;148;0,003
2021-03-06T09:00:43Z;0,122;7,2;148;0,002
2021-03-06T09:00:44Z;0,124;9;150;0,002
2021-03-06T09:00:45Z;0,127;9,36;151;0,003
2021-03-06T09:00:46Z;0,13;9,72;151;0,003
2021-03-06T09:00:47Z;0,133;10,08;151;0,003
2021-03-06T09:00:48Z;0,137;10,8;151;0,004
2021-03-06T09:00:49Z;0,14;11,16;153;0,003
2021-03-06T09:00:50Z;0,144;11,88;155;0,004
2021-03-06T09:00:51Z;0,147;12,24;157;0,003
2021-03-06T09:00:52Z;0,152;13,32;158;0,005
2021-03-06T09:00:53Z;0,157;14,4;160;0,005
2021-03-06T09:00:54Z;0,161;15,12;160;0,004
2021-03-06T09:00:55Z;0,166;15,84;161;0,005
2021-03-06T09:00:56Z;0,17;15,84;161;0,004
