Time;km;speed_kmh;FC;dist
2024-10-27T07:18:44Z;0;0;102;0
2024-10-27T07:18:45Z;0,001;5,04;102;0,001
2024-10-27T07:18:46Z;0,003;5,04;103;0,002
2024-10-27T07:18:47Z;0,004;5,04;106;0,001
2024-10-27T07:18:48Z;0,005;5,04;107;0,001
2024-10-27T07:18:49Z;0,007;5,04;107;0,002
2024-10-27T07:18:50Z;0,008;5,04;107;0,001
2024-10-27T07:18:51Z;0,01;5,04;107;0,002
2024-10-27T07:18:52Z;0,011;5,04;108;0,001
2024-10-27T07:18:53Z;0,013;5,76;109;0,002
2024-10-27T07:18:54Z;0,016;6,48;110;0,003
2024-10-27T07:18:55Z;0,018;7,2;113;0,002
2024-10-27T07:18:56Z;0,021;8,28;113;0,003
2024-10-27T07:18:57Z;0,023;8,64;114;0,002
2024-10-27T07:18:58Z;0,025;8,28;115;0,002
2024-10-27T07:18:59Z;0,027;7,92;116;0,002
2024-10-27T07:19:00Z;0,029;7,56;118;0,002
2024-10-27T07:19:01Z;0,031;7,2;118;0,002
2024-10-27T07:19:02Z;0,033;7,2;120;0,002
2024-10-27T07:19:03Z;0,035;7,56;122;0,002
2024-10-27T07:19:04Z;0,038;7,92;125;0,003
2024-10-27T07:19:05Z;0,04;7,92;130;0,002
2024-10-27T07:19:06Z;0,043;8,28;134;0,003
2024-10-27T07:19:07Z;0,045;8,64;135;0,002
2024-10-27T07:19:08Z;0,047;8,64;136;0,002
2024-10-27T07:19:09Z;0,049;8,28;136;0,002
2024-10-27T07:19:10Z;0,052;8,28;137;0,003
2024-10-27T07:19:11Z;0,054;7,92;137;0,002
2024-10-27T07:19:12Z;0,056;7,92;138;0,002
2024-10-27T07:19:13Z;0,059;8,64;140;0,003
2024-10-27T07:19:14Z;0,063;9,72;141;0,004
2024-10-27T07:19:15Z;0,063;8,28;141;0
2024-10-27T07:19:16Z;0,065;7,92;141;0,002
2024-10-27T07:19:17Z;0,067;7,92;142;0,002
2024-10-27T07:19:18Z;0,072;9,36;142;0,005
2024-10-27T07:19:19Z;0,072;6,48;146;0
2024-10-27T07:19:20Z;0,072;6,48;147;0
2024-10-27T07:19:21Z;0,076;7,92;146;0,004
2024-10-27T07:19:22Z;0,078;8,28;148;0,002
2024-10-27T07:19:23Z;0,081;6,12;146;0,003
2024-10-27T07:19:24Z;0,083;7,92;144;0,002
2024-10-27T07:19:25Z;0,086;9,72;142;0,003
2024-10-27T07:19:26Z;0,088;8,64;143;0,002
2024-10-27T07:19:27Z;0,09;8,64;146;0,002
2024-10-27T07:19:28Z;0,093;9;146;0,003
2024-10-27T07:19:29Z;0,096;9,72;145;0,003
2024-10-27T07:19:30Z;0,1;10,08;145;0,004
2024-10-27T07:19:31Z;0,103;10,8;144;0,003
2024-10-27T07:19:32Z;0,105;10,44;144;0,002
2024-10-27T07:19:33Z;0,107;10,44;145;0,002
2024-10-27T07:19:34Z;0,11;9,72;146;0,003
2024-10-27T07:19:35Z;0,112;8,64;146;0,002
2024-10-27T07:19:36Z;0,114;7,92;146;0,002
2024-10-27T07:19:37Z;0,117;8,28;147;0,003
2024-10-27T07:19:38Z;0,119;8,28;148;0,002
2024-10-27T07:19:39Z;0,121;8,64;147;0,002
2024-10-27T07:19:40Z;0,124;8,64;149;0,003
2024-10-27T07:19:41Z;0,127;9,36;149;0,003
2024-10-27T07:19:42Z;0,13;9,72;151;0,003
2024-10-27T07:19:43Z;0,133;10,08;150;0,003
2024-10-27T07:19:44Z;0,136;10,44;150;0,003
2024-10-27T07:19:45Z;0,139;10,8;148;0,003
2024-10-27T07:19:46Z;0,142;11,16;148;0,003
2024-10-27T07:19:47Z;0,146;11,52;148;0,004
2024-10-27T07:19:48Z;0,149;11,52;149;0,003
2024-10-27T07:19:49Z;0,151;11,16;150;0,002
2024-10-27T07:19:50Z;0,154;10,8;151;0,003
2024-10-27T07:19:51Z;0,157;10,08;152;0,003
2024-10-27T07:19:52Z;0,159;9,36;152;0,002
2024-10-27T07:19:53Z;0,161;8,28;152;0,002
2024-10-27T07:19:54Z;0,162;7,92;152;0,001
2024-10-27T07:19:55Z;0,164;7,2;152;0,002
2024-10-27T07:19:56Z;0,166;6,84;153;0,002
2024-10-27T07:19:57Z;0,168;6,12;154;0,002
2024-10-27T07:19:58Z;0,169;6,12;156;0,001
2024-10-27T07:19:59Z;0,171;6,12;158;0,002
2024-10-27T07:20:00Z;0,175;7,92;157;0,004
2024-10-27T07:20:01Z;0,179;9,36;158;0,004
2024-10-27T07:20:02Z;0,183;11,16;159;0,004
2024-10-27T07:20:03Z;0,185;11,52;160;0,002
2024-10-27T07:20:04Z;0,188;12,24;161;0,003
2024-10-27T07:20:05Z;0,19;10,8;160;0,002
2024-10-27T07:20:06Z;0,193;9,72;161;0,003
2024-10-27T07:20:07Z;0,195;8,64;161;0,002
2024-10-27T07:20:08Z;0,198;9;161;0,003
2024-10-27T07:20:09Z;0,201;9;159;0,003
2024-10-27T07:20:10Z;0,203;9,36;161;0,002
2024-10-27T07:20:11Z;0,206;9,72;161;0,003
2024-10-27T07:20:12Z;0,209;10,08;161;0,003
2024-10-27T07:20:13Z;0,211;10,08;163;0,002
2024-10-27T07:20:14Z;0,214;10,08;165;0,003
2024-10-27T07:20:15Z;0,217;10,08;164;0,003
2024-10-27T07:20:16Z;0,222;11,52;165;0,005
2024-10-27T07:20:17Z;0,224;10,8;167;0,002
2024-10-27T07:20:18Z;0,225;10,08;166;0,001
2024-10-27T07:20:19Z;0,227;9,36;167;0,002
2024-10-27T07:20:20Z;0,232;10,8;167;0,005
2024-10-27T07:20:21Z;0,234;8,64;167;0,002
2024-10-27T07:20:22Z;0,236;9;167;0,002
2024-10-27T07:20:23Z;0,238;9;168;0,002
2024-10-27T07:20:24Z;0,24;9,36;170;0,002
2024-10-27T07:20:25Z;0,242;7,2;171;0,002
2024-10-27T07:20:26Z;0,245;7,92;170;0,003
2024-10-27T07:20:27Z;0,247;8,28;171;0,002
2024-10-27T07:20:28Z;0,25;8,64;167;0,003
2024-10-27T07:20:29Z;0,253;9,36;167;0,003
2024-10-27T07:20:30Z;0,257;10,44;168;0,004
