Time;km;speed_kmh;FC;dist
2020-11-24T10:19:38Z;0;0;117;0
2020-11-24T10:19:41Z;0,03;0;117;0,03
2020-11-24T10:19:42Z;0,03;27,36;117;0
2020-11-24T10:19:43Z;0,031;22,32;117;0,001
2020-11-24T10:19:44Z;0,033;19,44;117;0,002
2020-11-24T10:19:45Z;0,034;17,64;114;0,001
2020-11-24T10:19:46Z;0,036;4,32;115;0,002
2020-11-24T10:19:47Z;0,038;5,4;115;0,002
2020-11-24T10:19:48Z;0,04;6,12;116;0,002
2020-11-24T10:19:49Z;0,042;6,84;119;0,002
2020-11-24T10:19:50Z;0,044;6,84;120;0,002
2020-11-24T10:19:51Z;0,046;7,56;120;0,002
2020-11-24T10:19:52Z;0,048;7,56;122;0,002
2020-11-24T10:19:53Z;0,052;8,28;127;0,004
2020-11-24T10:19:54Z;0,055;9,72;127;0,003
2020-11-24T10:19:55Z;0,059;11,16;128;0,004
2020-11-24T10:19:56Z;0,064;12,96;134;0,005
2020-11-24T10:19:57Z;0,07;15,12;136;0,006
2020-11-24T10:19:58Z;0,075;16,56;136;0,005
2020-11-24T10:19:59Z;0,08;17,64;138;0,005
2020-11-24T10:20:00Z;0,085;18;139;0,005
2020-11-24T10:20:01Z;0,089;17,64;139;0,004
2020-11-24T10:20:02Z;0,093;16,92;139;0,004
2020-11-24T10:20:03Z;0,096;15,48;140;0,003
2020-11-24T10:20:04Z;0,099;14,04;140;0,003
2020-11-24T10:20:05Z;0,102;12,24;141;0,003
2020-11-24T10:20:06Z;0,104;10,44;142;0,002
2020-11-24T10:20:07Z;0,106;9;142;0,002
2020-11-24T10:20:08Z;0,108;8,28;143;0,002
2020-11-24T10:20:09Z;0,11;7,56;143;0,002
2020-11-24T10:20:10Z;0,113;7,92;144;0,003
2020-11-24T10:20:11Z;0,116;9;145;0,003
2020-11-24T10:20:12Z;0,119;9,72;145;0,003
2020-11-24T10:20:13Z;0,123;10,8;147;0,004
2020-11-24T10:20:14Z;0,127;11,88;148;0,004
2020-11-24T10:20:15Z;0,13;12,24;148;0,003
2020-11-24T10:20:16Z;0,133;12,6;149;0,003
2020-11-24T10:20:17Z;0,137;12,24;148;0,004
2020-11-24T10:20:18Z;0,139;11,52;148;0,002
2020-11-24T10:20:19Z;0,142;11,16;148;0,003
2020-11-24T10:20:20Z;0,145;11,16;149;0,003
2020-11-24T10:20:21Z;0,149;11,52;149;0,004
2020-11-24T10:20:22Z;0,153;11,52;149;0,004
2020-11-24T10:20:23Z;0,156;11,88;149;0,003
2020-11-24T10:20:24Z;0,159;12,24;150;0,003
2020-11-24T10:20:25Z;0,163;12,24;150;0,004
2020-11-24T10:20:26Z;0,166;12,24;150;0,003
2020-11-24T10:20:27Z;0,169;11,88;150;0,003
2020-11-24T10:20:28Z;0,172;12,24;151;0,003
2020-11-24T10:20:29Z;0,176;11,88;151;0,004
2020-11-24T10:20:30Z;0,178;11,52;151;0,002
2020-11-24T10:20:31Z;0,182;11,52;151;0,004
2020-11-24T10:20:32Z;0,186;11,88;152;0,004
2020-11-24T10:20:33Z;0,189;11,88;151;0,003
2020-11-24T10:20:34Z;0,193;12,6;151;0,004
2020-11-24T10:20:35Z;0,198;13,68;151;0,005
2020-11-24T10:20:36Z;0,202;14,76;152;0,004
2020-11-24T10:20:37Z;0,206;15,12;153;0,004
2020-11-24T10:20:38Z;0,21;15,12;154;0,004
2020-11-24T10:20:39Z;0,214;14,76;155;0,004
2020-11-24T10:20:40Z;0,217;14,04;155;0,003
2020-11-24T10:20:41Z;0,22;12,6;155;0,003
2020-11-24T10:20:42Z;0,223;11,52;155;0,003
2020-11-24T10:20:43Z;0,225;10,8;156;0,002
2020-11-24T10:20:44Z;0,228;10,08;157;0,003
2020-11-24T10:20:45Z;0,231;10,08;158;0,003
2020-11-24T10:20:46Z;0,234;10,44;159;0,003
2020-11-24T10:20:47Z;0,237;10,44;160;0,003
2020-11-24T10:20:49Z;0,242;10,08;160;0,005
2020-11-24T10:20:49Z;0,244;10,08;160;0,002
2020-11-24T10:20:50Z;0,247;11,88;161;0,003
2020-11-24T10:20:51Z;0,251;12,24;161;0,004
2020-11-24T10:20:52Z;0,255;12,6;162;0,004
2020-11-24T10:20:53Z;0,258;12,6;163;0,003
2020-11-24T10:20:54Z;0,262;12,96;164;0,004
2020-11-24T10:20:55Z;0,266;13,32;167;0,004
2020-11-24T10:20:57Z;0,271;11,52;168;0,005
2020-11-24T10:20:57Z;0,276;11,52;168;0,005
2020-11-24T10:20:58Z;0,28;15,48;169;0,004
2020-11-24T10:20:59Z;0,284;15,84;169;0,004
2020-11-24T10:21:00Z;0,287;15,48;169;0,003
2020-11-24T10:21:01Z;0,292;15,84;170;0,005
2020-11-24T10:21:02Z;0,297;15,48;170;0,005
2020-11-24T10:21:03Z;0,301;15,12;170;0,004
2020-11-24T10:21:04Z;0,305;15,12;168;0,004
2020-11-24T10:21:05Z;0,309;15,48;167;0,004
2020-11-24T10:21:06Z;0,313;14,76;167;0,004
2020-11-24T10:21:07Z;0,316;14,04;167;0,003
2020-11-24T10:21:08Z;0,32;13,68;167;0,004
2020-11-24T10:21:09Z;0,323;13,32;167;0,003
2020-11-24T10:21:10Z;0,327;12,6;167;0,004
2020-11-24T10:21:11Z;0,33;12,24;165;0,003
2020-11-24T10:21:12Z;0,332;11,52;165;0,002
2020-11-24T10:21:13Z;0,335;10,8;165;0,003
2020-11-24T10:21:14Z;0,337;9,72;165;0,002
2020-11-24T10:21:15Z;0,339;9,36;165;0,002
2020-11-24T10:21:16Z;0,342;8,64;165;0,003
2020-11-24T10:21:17Z;0,344;8,64;165;0,002
2020-11-24T10:21:18Z;0,347;9;165;0,003
2020-11-24T10:21:19Z;0,35;9,36;165;0,003
2020-11-24T10:21:20Z;0,353;9,72;166;0,003
2020-11-24T10:21:21Z;0,357;10,8;167;0,004
2020-11-24T10:21:22Z;0,36;11,52;167;0,003
2020-11-24T10:21:23Z;0,364;12,24;167;0,004
2020-11-24T10:21:24Z;0,368;12,96;167;0,004
2020-11-24T10:21:25Z;0,371;13,32;167;0,003
2020-11-24T10:21:26Z;0,375;13,32;167;0,004
2020-11-24T10:21:27Z;0,379;13,32;167;0,004
2020-11-24T10:21:28Z;0,382;12,6;166;0,003
2020-11-24T10:21:29Z;0,385;12,24;166;0,003
2020-11-24T10:21:30Z;0,388;11,52;166;0,003
2020-11-24T10:21:31Z;0,39;10,8;166;0,002
2020-11-24T10:21:32Z;0,393;10,44;166;0,003
2020-11-24T10:21:33Z;0,396;10,44;167;0,003
2020-11-24T10:21:34Z;0,399;10,44;167;0,003
2020-11-24T10:21:35Z;0,402;10,8;168;0,003
2020-11-24T10:21:36Z;0,406;11,16;168;0,004
2020-11-24T10:21:37Z;0,409;11,52;168;0,003
2020-11-24T10:21:38Z;0,413;11,88;168;0,004
2020-11-24T10:21:39Z;0,416;11,88;168;0,003
2020-11-24T10:21:40Z;0,419;11,88;168;0,003
2020-11-24T10:21:42Z;0,424;10,44;167;0,005
2020-11-24T10:21:42Z;0,425;10,44;167;0,001
2020-11-24T10:21:43Z;0,428;11,52;167;0,003
2020-11-24T10:21:44Z;0,432;11,88;167;0,004
2020-11-24T10:21:45Z;0,436;12,6;168;0,004
2020-11-24T10:21:46Z;0,441;12,96;168;0,005
2020-11-24T10:21:47Z;0,444;13,32;168;0,003
2020-11-24T10:21:48Z;0,447;12,96;169;0,003
2020-11-24T10:21:50Z;0,451;10,8;169;0,004
2020-11-24T10:21:50Z;0,453;10,8;169;0,002
2020-11-24T10:21:51Z;0,456;10,8;169;0,003
2020-11-24T10:21:52Z;0,459;11,16;168;0,003
2020-11-24T10:21:53Z;0,463;11,88;167;0,004
2020-11-24T10:21:54Z;0,466;11,88;167;0,003
2020-11-24T10:21:55Z;0,47;12,24;167;0,004
2020-11-24T10:21:56Z;0,473;12,24;167;0,003
2020-11-24T10:21:57Z;0,476;11,88;167;0,003
2020-11-24T10:21:58Z;0,478;10,8;166;0,002
2020-11-24T10:21:59Z;0,481;10,44;165;0,003
2020-11-24T10:22:00Z;0,485;10,8;165;0,004
2020-11-24T10:22:01Z;0,489;11,88;165;0,004
2020-11-24T10:22:02Z;0,494;12,96;164;0,005
2020-11-24T10:22:03Z;0,498;14,4;163;0,004
2020-11-24T10:22:04Z;0,501;14,76;163;0,003
2020-11-24T10:22:05Z;0,505;14,4;161;0,004
2020-11-24T10:22:06Z;0,508;13,68;160;0,003
2020-11-24T10:22:07Z;0,511;12,6;160;0,003
2020-11-24T10:22:08Z;0,514;11,88;160;0,003
2020-11-24T10:22:09Z;0,517;11,16;161;0,003
2020-11-24T10:22:10Z;0,52;10,8;160;0,003
2020-11-24T10:22:11Z;0,523;10,44;160;0,003
2020-11-24T10:22:12Z;0,526;10,8;159;0,003
2020-11-24T10:22:13Z;0,53;11,52;159;0,004
2020-11-24T10:22:14Z;0,534;12,24;159;0,004
2020-11-24T10:22:15Z;0,539;13,32;159;0,005
2020-11-24T10:22:16Z;0,544;15,12;160;0,005
2020-11-24T10:22:17Z;0,549;16,56;160;0,005
2020-11-24T10:22:18Z;0,555;18,36;161;0,006
2020-11-24T10:22:19Z;0,561;19,44;160;0,006
2020-11-24T10:22:20Z;0,566;19,8;160;0,005
2020-11-24T10:22:21Z;0,571;19,8;160;0,005
2020-11-24T10:22:22Z;0,576;19,08;160;0,005
2020-11-24T10:22:23Z;0,58;18;159;0,004
2020-11-24T10:22:24Z;0,584;16,92;159;0,004
2020-11-24T10:22:25Z;0,587;15,12;158;0,003
2020-11-24T10:22:26Z;0,59;13,68;158;0,003
2020-11-24T10:22:27Z;0,593;12,6;158;0,003
2020-11-24T10:22:28Z;0,597;11,52;159;0,004
2020-11-24T10:22:29Z;0,6;11,52;158;0,003
2020-11-24T10:22:30Z;0,604;12,24;158;0,004
2020-11-24T10:22:31Z;0,608;12,96;158;0,004
2020-11-24T10:22:32Z;0,612;13,32;158;0,004
2020-11-24T10:22:33Z;0,615;13,32;157;0,003
2020-11-24T10:22:35Z;0,619;11,16;157;0,004
2020-11-24T10:22:35Z;0,621;11,16;157;0,002
2020-11-24T10:22:36Z;0,623;10,44;157;0,002
2020-11-24T10:22:37Z;0,625;9;158;0,002
2020-11-24T10:22:38Z;0,626;7,92;159;0,001
2020-11-24T10:22:39Z;0,628;7,92;159;0,002
2020-11-24T10:22:40Z;0,63;6,84;159;0,002
2020-11-24T10:22:41Z;0,633;7,2;159;0,003
2020-11-24T10:22:42Z;0,634;6,84;159;0,001
2020-11-24T10:22:43Z;0,635;6,84;159;0,001
2020-11-24T10:22:44Z;0,636;5,76;159;0,001
2020-11-24T10:22:45Z;0,637;5,04;159;0,001
2020-11-24T10:22:46Z;0,639;4,68;159;0,002
2020-11-24T10:22:47Z;0,64;4,32;159;0,001
2020-11-24T10:22:48Z;0,641;4,32;159;0,001
2020-11-24T10:22:49Z;0,642;3,96;159;0,001
2020-11-24T10:22:50Z;0,643;4,32;160;0,001
2020-11-24T10:22:51Z;0,645;4,32;160;0,002
2020-11-24T10:22:52Z;0,646;4,32;160;0,001
2020-11-24T10:22:53Z;0,647;4,68;160;0,001
2020-11-24T10:22:54Z;0,648;4,68;160;0,001
2020-11-24T10:22:55Z;0,649;4,32;159;0,001
2020-11-24T10:22:56Z;0,65;3,96;157;0,001
2020-11-24T10:22:57Z;0,651;3,6;158;0,001
2020-11-24T10:22:58Z;0,652;3,24;159;0,001
2020-11-24T10:22:59Z;0,653;3,6;160;0,001
2020-11-24T10:23:00Z;0,655;3,96;161;0,002
2020-11-24T10:23:01Z;0,657;5,04;162;0,002
2020-11-24T10:23:02Z;0,66;6,48;163;0,003
2020-11-24T10:23:03Z;0,663;7,56;164;0,003
2020-11-24T10:23:04Z;0,665;9;164;0,002
2020-11-24T10:23:05Z;0,669;10,08;165;0,004
2020-11-24T10:23:06Z;0,672;10,8;166;0,003
2020-11-24T10:23:07Z;0,676;11,52;166;0,004
2020-11-24T10:23:08Z;0,68;12,6;167;0,004
2020-11-24T10:23:09Z;0,684;13,68;168;0,004
2020-11-24T10:23:10Z;0,689;14,4;168;0,005
2020-11-24T10:23:11Z;0,693;14,76;167;0,004
2020-11-24T10:23:12Z;0,698;15,48;167;0,005
2020-11-24T10:23:13Z;0,702;15,84;167;0,004
2020-11-24T10:23:14Z;0,707;16,2;167;0,005
2020-11-24T10:23:15Z;0,712;16,56;166;0,005
2020-11-24T10:23:16Z;0,716;16,92;166;0,004
2020-11-24T10:23:17Z;0,721;16,92;165;0,005
2020-11-24T10:23:18Z;0,725;16,56;165;0,004
2020-11-24T10:23:20Z;0,729;12,6;165;0,004
2020-11-24T10:23:20Z;0,733;12,6;165;0,004
2020-11-24T10:23:21Z;0,737;14,4;164;0,004
2020-11-24T10:23:22Z;0,74;13,68;164;0,003
2020-11-24T10:23:23Z;0,744;12,96;164;0,004
2020-11-24T10:23:24Z;0,747;12,96;164;0,003
2020-11-24T10:23:25Z;0,751;12,96;164;0,004
2020-11-24T10:23:26Z;0,755;12,96;164;0,004
2020-11-24T10:23:27Z;0,758;12,96;164;0,003
2020-11-24T10:23:28Z;0,762;12,96;164;0,004
2020-11-24T10:23:29Z;0,765;12,96;165;0,003
2020-11-24T10:23:30Z;0,768;12,6;165;0,003
2020-11-24T10:23:31Z;0,772;12,24;166;0,004
2020-11-24T10:23:32Z;0,775;11,88;166;0,003
2020-11-24T10:23:33Z;0,778;11,88;166;0,003
2020-11-24T10:23:34Z;0,782;11,88;166;0,004
2020-11-24T10:23:36Z;0,787;11,16;165;0,005
2020-11-24T10:23:36Z;0,789;11,16;165;0,002
2020-11-24T10:23:37Z;0,792;12,6;165;0,003
2020-11-24T10:23:38Z;0,796;12,96;165;0,004
2020-11-24T10:23:39Z;0,8;12,96;165;0,004
2020-11-24T10:23:40Z;0,804;13,32;165;0,004
2020-11-24T10:23:41Z;0,807;12,96;165;0,003
