Time;km;speed_kmh;FC;dist
2021-09-26T07:41:11Z;0;0;85;0
2021-09-26T07:41:12Z;0,001;2,88;85;0,001
2021-09-26T07:41:13Z;0,002;2,88;85;0,001
2021-09-26T07:41:14Z;0,002;2,88;85;0
2021-09-26T07:41:15Z;0,003;2,88;85;0,001
2021-09-26T07:41:17Z;0,004;2,16;85;0,001
2021-09-26T07:41:17Z;0,005;2,16;85;0,001
2021-09-26T07:41:18Z;0,008;4,68;84;0,003
2021-09-26T07:41:19Z;0,011;6,48;84;0,003
2021-09-26T07:41:20Z;0,015;8,28;84;0,004
2021-09-26T07:41:21Z;0,018;9;85;0,003
2021-09-26T07:41:22Z;0,022;12,24;87;0,004
2021-09-26T07:41:23Z;0,026;12,6;89;0,004
2021-09-26T07:41:25Z;0,031;11,52;90;0,005
2021-09-26T07:41:25Z;0,033;11,52;91;0,002
2021-09-26T07:41:26Z;0,036;12,6;91;0,003
2021-09-26T07:41:27Z;0,04;12,96;91;0,004
2021-09-26T07:41:28Z;0,044;13,32;92;0,004
2021-09-26T07:41:29Z;0,048;13,32;93;0,004
2021-09-26T07:41:30Z;0,052;14,04;94;0,004
2021-09-26T07:41:31Z;0,056;14,4;93;0,004
2021-09-26T07:41:32Z;0,06;14,4;93;0,004
2021-09-26T07:41:33Z;0,065;14,76;94;0,005
2021-09-26T07:41:34Z;0,069;15,12;96;0,004
2021-09-26T07:41:35Z;0,073;15,48;100;0,004
2021-09-26T07:41:36Z;0,078;15,48;100;0,005
2021-09-26T07:41:37Z;0,082;15,48;98;0,004
2021-09-26T07:41:38Z;0,086;15,12;99;0,004
2021-09-26T07:41:39Z;0,09;15,12;101;0,004
2021-09-26T07:41:40Z;0,094;15,12;104;0,004
2021-09-26T07:41:41Z;0,098;15,12;107;0,004
2021-09-26T07:41:42Z;0,102;14,76;111;0,004
2021-09-26T07:41:43Z;0,107;15,12;117;0,005
2021-09-26T07:41:44Z;0,111;15,12;124;0,004
2021-09-26T07:41:45Z;0,116;15,12;126;0,005
2021-09-26T07:41:46Z;0,12;15,48;126;0,004
2021-09-26T07:41:47Z;0,124;15,84;126;0,004
2021-09-26T07:41:48Z;0,129;15,84;127;0,005
2021-09-26T07:41:50Z;0,135;13,68;129;0,006
2021-09-26T07:41:50Z;0,137;13,68;129;0,002
2021-09-26T07:41:51Z;0,141;14,76;131;0,004
2021-09-26T07:41:52Z;0,145;14,76;133;0,004
2021-09-26T07:41:53Z;0,149;14,76;135;0,004
2021-09-26T07:41:54Z;0,153;14,76;137;0,004
2021-09-26T07:41:55Z;0,157;14,76;139;0,004
2021-09-26T07:41:56Z;0,161;14,76;140;0,004
2021-09-26T07:41:57Z;0,165;14,4;141;0,004
2021-09-26T07:41:59Z;0,171;12,6;142;0,006
2021-09-26T07:41:59Z;0,172;12,6;144;0,001
2021-09-26T07:42:00Z;0,176;14,04;146;0,004
2021-09-26T07:42:01Z;0,18;14,04;147;0,004
2021-09-26T07:42:02Z;0,184;14,04;148;0,004
2021-09-26T07:42:03Z;0,187;13,68;149;0,003
2021-09-26T07:42:05Z;0,193;11,88;150;0,006
2021-09-26T07:42:05Z;0,194;11,88;150;0,001
2021-09-26T07:42:06Z;0,198;12,96;150;0,004
2021-09-26T07:42:07Z;0,202;12,96;150;0,004
2021-09-26T07:42:08Z;0,207;14,04;150;0,005
2021-09-26T07:42:09Z;0,211;14,04;150;0,004
2021-09-26T07:42:10Z;0,214;14,4;152;0,003
2021-09-26T07:42:11Z;0,218;14,4;153;0,004
2021-09-26T07:42:13Z;0,222;11,16;154;0,004
2021-09-26T07:42:13Z;0,226;11,16;155;0,004
2021-09-26T07:42:14Z;0,23;13,68;155;0,004
2021-09-26T07:42:15Z;0,234;13,68;156;0,004
2021-09-26T07:42:16Z;0,237;14,04;157;0,003
2021-09-26T07:42:17Z;0,242;14,04;157;0,005
2021-09-26T07:42:18Z;0,246;14,4;158;0,004
2021-09-26T07:42:19Z;0,25;14,4;158;0,004
2021-09-26T07:42:20Z;0,254;14,76;158;0,004
2021-09-26T07:42:21Z;0,258;14,76;158;0,004
2021-09-26T07:42:22Z;0,262;14,76;158;0,004
2021-09-26T07:42:23Z;0,266;14,76;158;0,004
2021-09-26T07:42:24Z;0,271;14,76;158;0,005
2021-09-26T07:42:25Z;0,274;14,76;158;0,003
2021-09-26T07:42:26Z;0,278;14,4;157;0,004
2021-09-26T07:42:27Z;0,282;14,04;157;0,004
2021-09-26T07:42:28Z;0,285;13,32;158;0,003
2021-09-26T07:42:29Z;0,288;12,96;158;0,003
2021-09-26T07:42:30Z;0,292;12,6;160;0,004
2021-09-26T07:42:31Z;0,296;12,6;161;0,004
2021-09-26T07:42:32Z;0,299;12,6;163;0,003
2021-09-26T07:42:33Z;0,303;12,96;163;0,004
2021-09-26T07:42:34Z;0,308;14,04;163;0,005
2021-09-26T07:42:35Z;0,312;14,76;163;0,004
2021-09-26T07:42:36Z;0,317;15,12;161;0,005
2021-09-26T07:42:37Z;0,32;15,12;161;0,003
2021-09-26T07:42:38Z;0,324;15,12;161;0,004
2021-09-26T07:42:39Z;0,327;14,04;161;0,003
2021-09-26T07:42:40Z;0,331;13,32;161;0,004
2021-09-26T07:42:41Z;0,335;13,32;161;0,004
2021-09-26T07:42:42Z;0,339;12,96;161;0,004
2021-09-26T07:42:43Z;0,342;12,96;161;0,003
2021-09-26T07:42:44Z;0,345;12,6;161;0,003
2021-09-26T07:42:46Z;0,35;10,8;161;0,005
2021-09-26T07:42:46Z;0,351;10,8;161;0,001
2021-09-26T07:42:47Z;0,355;11,88;161;0,004
2021-09-26T07:42:48Z;0,358;11,52;161;0,003
2021-09-26T07:42:49Z;0,361;11,88;161;0,003
2021-09-26T07:42:50Z;0,364;11,52;161;0,003
2021-09-26T07:42:51Z;0,367;11,16;160;0,003
2021-09-26T07:42:52Z;0,37;10,44;160;0,003
2021-09-26T07:42:53Z;0,372;10,08;160;0,002
2021-09-26T07:42:54Z;0,375;10,08;162;0,003
2021-09-26T07:42:55Z;0,378;10,08;164;0,003
2021-09-26T07:42:56Z;0,382;10,8;165;0,004
2021-09-26T07:42:57Z;0,385;11,16;165;0,003
2021-09-26T07:42:58Z;0,389;11,88;165;0,004
2021-09-26T07:42:59Z;0,392;12,24;165;0,003
2021-09-26T07:43:00Z;0,396;12,24;165;0,004
2021-09-26T07:43:01Z;0,399;12,24;165;0,003
2021-09-26T07:43:02Z;0,402;12,24;165;0,003
2021-09-26T07:43:03Z;0,406;12,24;165;0,004
2021-09-26T07:43:04Z;0,409;12,24;165;0,003
2021-09-26T07:43:05Z;0,412;12,24;167;0,003
2021-09-26T07:43:06Z;0,415;11,88;168;0,003
2021-09-26T07:43:07Z;0,418;11,52;168;0,003
2021-09-26T07:43:08Z;0,421;11,52;169;0,003
2021-09-26T07:43:09Z;0,424;11,16;169;0,003
2021-09-26T07:43:10Z;0,428;11,16;169;0,004
2021-09-26T07:43:11Z;0,431;11,16;169;0,003
2021-09-26T07:43:12Z;0,434;11,52;169;0,003
2021-09-26T07:43:13Z;0,438;11,88;170;0,004
2021-09-26T07:43:14Z;0,442;12,6;170;0,004
2021-09-26T07:43:15Z;0,445;12,6;170;0,003
2021-09-26T07:43:16Z;0,449;12,6;170;0,004
2021-09-26T07:43:17Z;0,452;12,96;169;0,003
2021-09-26T07:43:18Z;0,456;13,32;168;0,004
2021-09-26T07:43:19Z;0,461;13,68;167;0,005
2021-09-26T07:43:20Z;0,465;14,4;167;0,004
2021-09-26T07:43:21Z;0,47;15,48;167;0,005
2021-09-26T07:43:22Z;0,475;16,2;167;0,005
2021-09-26T07:43:23Z;0,48;16,92;167;0,005
2021-09-26T07:43:24Z;0,485;17,64;167;0,005
2021-09-26T07:43:25Z;0,49;17,64;167;0,005
2021-09-26T07:43:26Z;0,494;17,64;167;0,004
2021-09-26T07:43:27Z;0,498;16,92;167;0,004
2021-09-26T07:43:28Z;0,502;15,84;167;0,004
2021-09-26T07:43:29Z;0,505;14,76;167;0,003
2021-09-26T07:43:30Z;0,509;13,68;168;0,004
2021-09-26T07:43:31Z;0,513;13,68;167;0,004
2021-09-26T07:43:33Z;0,517;11,16;167;0,004
2021-09-26T07:43:33Z;0,522;11,16;167;0,005
2021-09-26T07:43:34Z;0,526;15,12;167;0,004
2021-09-26T07:43:35Z;0,531;15,84;167;0,005
2021-09-26T07:43:36Z;0,536;16,56;167;0,005
2021-09-26T07:43:37Z;0,541;16,56;167;0,005
2021-09-26T07:43:38Z;0,544;16,2;167;0,003
2021-09-26T07:43:39Z;0,548;15,12;167;0,004
2021-09-26T07:43:40Z;0,55;13,68;166;0,002
2021-09-26T07:43:41Z;0,553;12,24;164;0,003
2021-09-26T07:43:42Z;0,556;11,16;164;0,003
2021-09-26T07:43:43Z;0,559;10,44;164;0,003
2021-09-26T07:43:44Z;0,563;11,16;164;0,004
2021-09-26T07:43:45Z;0,567;12,24;164;0,004
2021-09-26T07:43:46Z;0,571;13,32;164;0,004
2021-09-26T07:43:47Z;0,575;14,04;165;0,004
2021-09-26T07:43:48Z;0,579;14,4;165;0,004
2021-09-26T07:43:50Z;0,585;12,6;164;0,006
2021-09-26T07:43:50Z;0,587;12,6;163;0,002
2021-09-26T07:43:51Z;0,59;13,68;161;0,003
2021-09-26T07:43:52Z;0,594;13,68;160;0,004
2021-09-26T07:43:53Z;0,598;14,04;160;0,004
2021-09-26T07:43:54Z;0,602;14,04;159;0,004
2021-09-26T07:43:55Z;0,606;14,04;159;0,004
2021-09-26T07:43:56Z;0,61;14,4;159;0,004
2021-09-26T07:43:58Z;0,614;11,52;159;0,004
2021-09-26T07:43:58Z;0,618;11,52;159;0,004
2021-09-26T07:43:59Z;0,622;14,04;159;0,004
2021-09-26T07:44:00Z;0,625;13,68;159;0,003
2021-09-26T07:44:01Z;0,629;13,68;159;0,004
2021-09-26T07:44:02Z;0,633;13,32;159;0,004
2021-09-26T07:44:04Z;0,638;11,88;160;0,005
2021-09-26T07:44:04Z;0,64;11,88;161;0,002
2021-09-26T07:44:05Z;0,644;13,32;163;0,004
2021-09-26T07:44:06Z;0,647;12,96;163;0,003
2021-09-26T07:44:07Z;0,65;12,24;163;0,003
2021-09-26T07:44:08Z;0,652;11,52;163;0,002
